title,time,description,detail_url,image_url
Plate,c. 1750,,https://www.artic.edu/artworks/2583,"https://www.artic.edu/iiif/2/5fb62b48-8ea9-cc59-0b57-5c9779784b31/full/843,/0/default.jpg"
The Unsafe Tenement,1858,,https://www.artic.edu/artworks/109200,"https://www.artic.edu/iiif/2/e381e5c9-6b8a-8614-4350-2ec4264b265c/full/843,/0/default.jpg"
The Shoemaker,1896,,https://www.artic.edu/artworks/139462,"https://www.artic.edu/iiif/2/7908d373-d903-d8c9-50e6-2622af6d4dbc/full/843,/0/default.jpg"
"The Circle of the Thieves; Agnolo Brunelleschi Attacked by a Six-Footed Serpent. Inferno, canto XXV","1827, printed c. 1892",,https://www.artic.edu/artworks/2306,"https://www.artic.edu/iiif/2/b1b774eb-b49e-a99b-0edc-bc81e1fa865a/full/843,/0/default.jpg"
The Kitchen,1858,,https://www.artic.edu/artworks/80112,"https://www.artic.edu/iiif/2/615e978f-02a9-5997-0f15-9fdb61049825/full/843,/0/default.jpg"
"Giant Interactive Group, Shanghai, China, Combinatory Study",2013,,https://www.artic.edu/artworks/233330,"https://www.artic.edu/iiif/2/96fc4085-7a4f-d160-470d-43c672aa78f7/full/843,/0/default.jpg"
Fumette,1858,,https://www.artic.edu/artworks/137970,"https://www.artic.edu/iiif/2/305e52c3-1842-b399-32d0-b1c01f24d252/full/843,/0/default.jpg"
Incense Burner in the Form of a Duck,"Song dynasty (960–1279), 12th century",,https://www.artic.edu/artworks/43060,"https://www.artic.edu/iiif/2/fa3a6e30-09ce-5c9e-5cba-a682ca4d56e7/full/843,/0/default.jpg"
Bottle-Shaped Vase,Qing dynasty (1644–1911),,https://www.artic.edu/artworks/18467,"https://www.artic.edu/iiif/2/5914d096-1b24-0b7b-a3a6-37bd939ebf75/full/843,/0/default.jpg"
The Birth of Annette,c. 1899,,https://www.artic.edu/artworks/3446,"https://www.artic.edu/iiif/2/f32ef282-5346-9231-0e89-79c6dbfa1f00/full/843,/0/default.jpg"
Cauldron,"Western Zhou dynasty (1046–771 BC ), early 9th century BC",,https://www.artic.edu/artworks/185963,"https://www.artic.edu/iiif/2/69f25cba-e78d-061b-4cc1-b8fe66b02f28/full/843,/0/default.jpg"
Soup Bowl,c. 1750,,https://www.artic.edu/artworks/2728,"https://www.artic.edu/iiif/2/a400d311-80ea-1ac6-da15-1d29cfab43a9/full/843,/0/default.jpg"
South China Sea (Furnishing Fabric),1960/74,,https://www.artic.edu/artworks/46808,"https://www.artic.edu/iiif/2/917b1382-bd2d-44d3-3f86-05ccc6dd1dfd/full/843,/0/default.jpg"
Large Bowl with Lotus Scrolls (interior) and Overlapping Petals (exterior),"Northern Song dynasty (960–1127), early 12th century",,https://www.artic.edu/artworks/12270,"https://www.artic.edu/iiif/2/6408f51f-ae13-9a38-e14c-3937e66ba52e/full/843,/0/default.jpg"
Annie,1857/58,,https://www.artic.edu/artworks/29408,"https://www.artic.edu/iiif/2/9668b4ef-cb9a-ee3c-1191-4af6e6b06ee3/full/843,/0/default.jpg"
La Rétameuse,1858,,https://www.artic.edu/artworks/132651,"https://www.artic.edu/iiif/2/ebbb509b-8226-6921-0380-4b5db8c203ee/full/843,/0/default.jpg"
Storage Jar (Hu) with Hunting Scenes,Eastern Han dynasty (A.D. 25–220),,https://www.artic.edu/artworks/12054,"https://www.artic.edu/iiif/2/79be597e-6547-41c4-ba30-02c25c38ff88/full/843,/0/default.jpg"
Articles of China on Four Shelves,c. 1844,,https://www.artic.edu/artworks/38985,"https://www.artic.edu/iiif/2/fdd5fdd8-358d-5a87-d850-acb327494473/full/843,/0/default.jpg"
Equestrienne,"Tang dynasty (618–907), mid-8th century",,https://www.artic.edu/artworks/35376,"https://www.artic.edu/iiif/2/f18f7064-fb9a-7074-1f1c-f8009eecaec7/full/843,/0/default.jpg"
Camel and Rider,"Tang dynasty (618–907), first half of 8th century",,https://www.artic.edu/artworks/32532,"https://www.artic.edu/iiif/2/9a0116bf-125f-cbba-0ef0-06ae5a07d481/full/843,/0/default.jpg"
Plate,1760/70,,https://www.artic.edu/artworks/2511,"https://www.artic.edu/iiif/2/a2c647a5-0761-90d7-772f-d57a59dbaab9/full/843,/0/default.jpg"
Bodhisattva,"Tang dynasty (618–906), c. 725/50",,https://www.artic.edu/artworks/4453,"https://www.artic.edu/iiif/2/1b0942c6-8316-4ca7-f0fe-aceab478848e/full/843,/0/default.jpg"
Sugawara Michizane crossing to China (Toto Tenjin),c. 1770s,,https://www.artic.edu/artworks/22042,"https://www.artic.edu/iiif/2/e9aeb909-2344-b9f8-c460-5ed87859149e/full/843,/0/default.jpg"
Buddhist Votive Stele,"Western Wei dynasty (A.D. 535–557), dated A.D. 551",,https://www.artic.edu/artworks/29149,"https://www.artic.edu/iiif/2/df7eff2d-b2f3-898e-88b4-4bf8d4292871/full/843,/0/default.jpg"
Tripod Dish with Handles,Qing dynasty (1644–1911),,https://www.artic.edu/artworks/18568,"https://www.artic.edu/iiif/2/48f2a406-a981-71cd-8554-deeec76cfad0/full/843,/0/default.jpg"
Yoke-Back Armchair,"late Ming–early Qing dynasty, 17th century",,https://www.artic.edu/artworks/60912,
La Rétameuse,1858,,https://www.artic.edu/artworks/137976,"https://www.artic.edu/iiif/2/455998e1-2ebe-0b1a-3466-7b6d20029c95/full/843,/0/default.jpg"
Dish with Dragons Writhing amid Floral Scrolls,"Ming dynasty (1368–1644), Zhengde reign mark and period (1506–1521)",,https://www.artic.edu/artworks/21284,"https://www.artic.edu/iiif/2/7e306f22-0f91-5e6c-b08c-26d4042f36da/full/843,/0/default.jpg"
Covered Ewer with Lizard-Shaped Handle,"Qing dynasty (1644–1911), 18th century",,https://www.artic.edu/artworks/14460,"https://www.artic.edu/iiif/2/ccb22c0f-2cb4-4e74-63bc-432a524f1df0/full/843,/0/default.jpg"
Tea Bowl,c. 1750,,https://www.artic.edu/artworks/2344,"https://www.artic.edu/iiif/2/bb506af3-7677-b443-c8b0-431ddcc077c4/full/843,/0/default.jpg"
“If he has a gun — Don't stand in front of the china closet!”,n.d.,,https://www.artic.edu/artworks/190614,"https://www.artic.edu/iiif/2/330e87ed-1097-e44d-2e09-cd340f3eb2a1/full/843,/0/default.jpg"
